"ChassisID","BoltPattern","Hubbore","HubboreRear","MaxWheelLoad","Nutorbolt","NutBoltThreadType","NutBoltHex","BoltLength","Minboltlength","Maxboltlength","NutBoltTorque","AxleWeightFront","AxleWeightRear","TPMS"
"5082","4x100","57.1","","1199","nut","M12x1.5","19","","","","80","","",""
"5083","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5084","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5085","5x114.3","70.6","","1353","nut","1/2 UNF","19","","","","85","","",""
"5086","5x114.3","71.8","","1639","nut","1/2 UNF","19","","","","75","","",""
"5087","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5088","5x114.3","71.8","","1639","nut","1/2 UNF","19","","","","75","","",""
"5089","4x114.3","67.1","","1287","nut","M12x1.5","21","","","","80","","",""
"5090","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5091","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5092","5x112","66.6","","1327","bolt","M12x1.5","17","26.00","25","28","81","","",""
"5093","5x112","66.6","","1529","bolt","M12x1.5","17","32.00","31","34","81","","",""
"5094","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5095","4x108","63.9","","1133","nut","1/2 UNF","19","","","","74","","",""
"5096","4x140","63.1","","1100","nut","M12x1.25","19","","","","66","","",""
"5098","4x108","63.4","","1184","nut","1/2 UNF","19","","","","78","","",""
"5099","4x140","65.1","","1100","nut","M12x1.25","19","","","","66","","",""
"5101","5x114.3","70.6","","1181","nut","1/2 UNF","19","","","","85","","",""
"5102","5x114.3","70.6","","1320","nut","1/2 UNF","19","","","","85","","",""
"5103","5x114.3","70.6","","1320","nut","1/2 UNF","19","","","","85","","",""
"5104","4x101.6","65.1","","792","nut","3/8 UNF","19","","","","81","","",""
"5106","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"5107","6x130","84.1","","2530","bolt","M14x1.5","17","32.00","31","34","111","","","on"
"5108","6x205","161","0.00","2970","nut","M14x1.5","19","","0","0","111","0","0","on"
"5109","4x130","75.1","","770","bolt","M14x1.5","19","28.00","27","30","81","","",""
"5110","6x205","161","0.00","2530","nut","M14x1.5","22","","0","0","111","0","0","on"
"5130","5x115","70.3","0.00","1331","nut","M12x1.5","19","","0","0","100","0","0",""
"5131","5x127","78.1","0.00","1331","nut","M12x1.5","19","","0","0","100","0","0",""
"5132","5x115","70.3","","1331","nut","M12x1.5","19","","","","100","","",""
"5133","8x165.1","117","","3036","nut","M14x1.5","22","","","","140","2000","2760","on"
"5134","5x114.3","67.1","","1217","nut","M12x1.5","19","","","","85 to 115","","","on"
"5135","5x114.3","63.4","","1507","nut","1/2 UNF","19","","","","100","","","on"
"5137","5x120.65","73.9","","1404","nut","1/2 UNF","19","","","","75","","",""
"5138","5x114.3","67.1","0.00","1067","nut","M12x1.5","21","","0","0","80","0","0","on"
"5140","5x139.7","108","","1265","nut","M12x1.5","19","","","","100","800","1000",""
"5144","8x165.1","117","","3300","nut","M14x1.5","22","","","","140","","","on"
"5145","8x165.1","117","","3300","nut","M14x1.5","22","","","","140","","","on"
"5151","5x114.3","67.1","","1100","nut","M12x1.5","21","","","","65 to 80","","","on"
"5152","5x135","87.1","","1892","nut","M12x1.75","19","","","","100","","",""
"5156","5x120","67.1","","1375","nut","M14x1.5","22","","","","110","","","on"
"5157","5x115","71.5","0.00","1404","nut","M14x1.5","21","","0","0","110","0","0","on"
"5158","5x115","71.5","0.00","1404","nut","M14x1.5","21","","0","0","110","0","0","on"
"5159","5x115","71.5","0.00","1404","nut","M14x1.5","21","","0","0","110","0","0","on"
"5160","5x115","71.5","0.00","1404","nut","M14x1.5","21","","0","0","110","0","0","on"
"5161","5x114.3","67.1","","1320","nut","M12x1.5","21","","","","75","","","on"
"5165","5x130","67.1","","1584","nut","M14x2.0","22","","","","81","1247","1542","on"
"5166","5x127","71.5","","1844","nut","M14x1.5","22","","","","110","1452","1678","on"
"5167","5x114.3","67.1","","1217","nut","M12x1.5","19","","","","85 to 115","","","on"
"5170","5x114.3","67.1","0.00","1210","bolt","M14x1.5","22","39.00","38","42","74","860","985","on"
"5171","5x114.3","67.1","","1210","bolt","M14x1.5","22","28.00","27","30","74","998","1330","on"
"5176","5x130","71.5","","1327","bolt","M14x1.5","19","30.00","29","33","118","790","1240","on"
"5177","Racing Nut","","0.00","1243","","","","","","","118","825","1220","on"
"5189","5x115","70.3","","1309","nut","M12x1.5","19","","","","100","","","on"
"5192","4x100","56.1","","997","bolt","M14x1.25","17","27.00","26","30","103","925","800","on"
"5193","4x100","56.1","0.00","997","bolt","M14x1.25","17","27.00","26","30","103","925","800","on"
"5257","5x112","66.5","","1382","bolt","M14x1.5","17","28.00","27","30","89","","","on"
"5258","5x120","72.6","","1419","bolt","M14x1.25","17","28.00","27","30","103","","","on"
"5260","5x120","67.1","0.00","1309","nut","M14x1.5","22","","0","0","110 blue lug nuts, 140 silver lug nuts","0","0","on"
"5262","5x108","63.4","","1210","nut","M12x1.5","19","","","","100","","","on"
"5263","5x108","63.4","","1210","nut","M12x1.5","19","","","","100","","","on"
"5264","5x114.3","66.1","","1492","nut","M12x1.25","21","","","","80","","","on"
"5265","5x114.3","66.1","","1463","nut","M12x1.25","21","","","","83","","","on"
"5266","5x114.3","66.1","","1331","nut","M12x1.25","21","","","","80","","","on"
"5270","5x127","71.5","","1980","nut","M12x1.5","19","","","","100","","","on"
"5282","8x165.1","117","","2310","nut","","24","","","","138","","","on"
"5283","8x165.1","117","0.00","2310","nut","M14x1.5","24","","0","0","138","0","0","on"
"5284","8x165.1","117","","2310","nut","","24","","","","131","","","on"
"5285","5x120","72.6","","1045","bolt","M12x1.5","17","28.00","27","30","88","","","on"
"5286","5x127","71.5","","1547","nut","M12x1.5","19","","","","100","","","on"
"5287","5x114.3","67.1","","1353","bolt","M14x1.5","22","26.00","25","28","74","860","1110","on"
"5288","8x170","124.9","0.00","2750","nut","M14x2.0","22","","0","0","150 to 165","0","0",""
"5290","5x112","66.6","0.00","1459","bolt","M14x1.5","17","30.00","29","33","103","0","0","on"
"5292","5x130","71.5","","1309","bolt","M14x1.5","19","30.00","29","33","118","825","1240","on"
"5293","5x112","57.1","","1177","bolt","M14x1.5","17","28.00","27","30","89","","","on"
"5304","5x112","57.1","","1162","bolt","M14x1.5","17","28.00","27","30","89","","","on"
"5305","5x114.3","64.1","0.00","1210","nut","M12x1.5","19","","0","0","80","0","0","on"
"5306","5x114.3","64.1","","1188","nut","M12x1.5","19","","","","80","","","on"
"5357","8x165.1","117","","2310","nut","9/16 UNF","22","","","","120","","",""
"5358","6x139.7","78","0.00","2046","nut","1/2 UNF","22","","0","0","120","0","0",""
"5359","5x114.3","68.1","","1320","nut","M14x2.0","22","","","","81","","","on"
"5368","5x100","57.1","","1386","nut","M12x1.5","19","","","","75","","",""
"5370","4x100","56.1","","1155","nut","M12x1.5","21","","","","80","","",""
"5371","5x139.7","77.8","0.00","1842","nut","9/16 UNF","22","","0","0","135","0","0","on"
"5372","4x114.3","67.1","","1129","nut","M12x1.5","21","","","","81","","",""
"5373","5x114.3","59.6","","955","nut","M12x1.5","21","","","","81","","",""
"5374","5x120.65","70.3","","1448","nut","M12x1.5","19","","","","100","","",""
"5379","5x114.3","60.1","","990","nut","M12x1.5","21","","","","88","","","on"
